"id","journal","date","annee","pages","format_mm"
lematin_18870615,Le Matin,1887-06-15,1887,2,433x616
lematin_18870616,Le Matin,1887-06-16,1887,2,433x616
lematin_18870617,Le Matin,1887-06-17,1887,2,431x618
lematin_18870618,Le Matin,1887-06-18,1887,2,432x618
lematin_18870619,Le Matin,1887-06-19,1887,2,432x619
lematin_18870620,Le Matin,1887-06-20,1887,2,432x617
lematin_18870621,Le Matin,1887-06-21,1887,2,432x617
lematin_18870622,Le Matin,1887-06-22,1887,2,433x616
lematin_18870623,Le Matin,1887-06-23,1887,2,432x618
lematin_18870624,Le Matin,1887-06-24,1887,2,432x619
lematin_18870625,Le Matin,1887-06-25,1887,2,431x616
lematin_18870626,Le Matin,1887-06-26,1887,2,432x617
lematin_18870627,Le Matin,1887-06-27,1887,2,431x617
lematin_18870628,Le Matin,1887-06-28,1887,2,432x617
lematin_18870629,Le Matin,1887-06-29,1887,2,432x617
lematin_18870630,Le Matin,1887-06-30,1887,2,431x616
lematin_18870701,Le Matin,1887-07-01,1887,2,431x618
lematin_18870702,Le Matin,1887-07-02,1887,2,430x616
lematin_18870703,Le Matin,1887-07-03,1887,2,431x616
lematin_18870704,Le Matin,1887-07-04,1887,2,434x618
lematin_18870705,Le Matin,1887-07-05,1887,2,433x617
lematin_18870706,Le Matin,1887-07-06,1887,2,436x617
lematin_18870707,Le Matin,1887-07-07,1887,2,433x616
lematin_18870708,Le Matin,1887-07-08,1887,2,433x615
lematin_18870709,Le Matin,1887-07-09,1887,2,431x615
lematin_18870710,Le Matin,1887-07-10,1887,2,432x617
lematin_18870711,Le Matin,1887-07-11,1887,2,432x616
lematin_18870712,Le Matin,1887-07-12,1887,2,434x617
lematin_18870713,Le Matin,1887-07-13,1887,2,432x616
lematin_18870714,Le Matin,1887-07-14,1887,2,436x621
lematin_18870715,Le Matin,1887-07-15,1887,2,433x617
lematin_18870716,Le Matin,1887-07-16,1887,2,433x617
lematin_18870717,Le Matin,1887-07-17,1887,2,429x615
lematin_18870718,Le Matin,1887-07-18,1887,2,428x615
lematin_18870719,Le Matin,1887-07-19,1887,2,428x615
lematin_18870720,Le Matin,1887-07-20,1887,2,427x614
lematin_18870721,Le Matin,1887-07-21,1887,2,432x615
lematin_18870722,Le Matin,1887-07-22,1887,2,433x616
lematin_18870723,Le Matin,1887-07-23,1887,2,433x615
lematin_18870724,Le Matin,1887-07-24,1887,2,432x615
lematin_18870725,Le Matin,1887-07-25,1887,2,432x615
lematin_18870726,Le Matin,1887-07-26,1887,2,432x616
lematin_18870727,Le Matin,1887-07-27,1887,2,434x616
lematin_18870728,Le Matin,1887-07-28,1887,2,433x615
lematin_18870729,Le Matin,1887-07-29,1887,2,434x617
lematin_18870730,Le Matin,1887-07-30,1887,2,435x615
lematin_18870731,Le Matin,1887-07-31,1887,2,437x616
lematin_18870801,Le Matin,1887-08-01,1887,2,433x615
lematin_18870802,Le Matin,1887-08-02,1887,2,433x615
lematin_18870803,Le Matin,1887-08-03,1887,2,432x615
lematin_18870804,Le Matin,1887-08-04,1887,2,433x616
lematin_18870805,Le Matin,1887-08-05,1887,2,434x615
lematin_18870806,Le Matin,1887-08-06,1887,2,432x615
lematin_18870807,Le Matin,1887-08-07,1887,2,432x615
lematin_18870808,Le Matin,1887-08-08,1887,2,432x615
lematin_18870809,Le Matin,1887-08-09,1887,2,432x615
lematin_18870810,Le Matin,1887-08-10,1887,2,433x615
lematin_18870811,Le Matin,1887-08-11,1887,2,432x614
lematin_18870812,Le Matin,1887-08-12,1887,2,433x615
lematin_18870813,Le Matin,1887-08-13,1887,2,434x615
lematin_18870814,Le Matin,1887-08-14,1887,2,436x615
lematin_18870815,Le Matin,1887-08-15,1887,2,434x616
lematin_18870816,Le Matin,1887-08-16,1887,2,432x617
lematin_18870817,Le Matin,1887-08-17,1887,2,433x616
lematin_18870818,Le Matin,1887-08-18,1887,2,434x615
lematin_18870819,Le Matin,1887-08-19,1887,2,433x617
lematin_18870820,Le Matin,1887-08-20,1887,2,432x614
lematin_18870821,Le Matin,1887-08-21,1887,2,434x615
lematin_18870822,Le Matin,1887-08-22,1887,2,434x615
lematin_18870823,Le Matin,1887-08-23,1887,2,433x615
lematin_18870824,Le Matin,1887-08-24,1887,2,433x615
lematin_18870825,Le Matin,1887-08-25,1887,2,435x615
lematin_18870826,Le Matin,1887-08-26,1887,2,433x615
lematin_18870827,Le Matin,1887-08-27,1887,2,436x616
lematin_18870828,Le Matin,1887-08-28,1887,2,433x615
lematin_18870829,Le Matin,1887-08-29,1887,2,434x615
lematin_18870830,Le Matin,1887-08-30,1887,2,433x616
lematin_18870831,Le Matin,1887-08-31,1887,2,432x615
lematin_18870901,Le Matin,1887-09-01,1887,2,431x615
lematin_18870902,Le Matin,1887-09-02,1887,2,432x615
lematin_18870903,Le Matin,1887-09-03,1887,2,431x615
lematin_18870904,Le Matin,1887-09-04,1887,2,433x616
lematin_18870905,Le Matin,1887-09-05,1887,2,434x617
lematin_18870906,Le Matin,1887-09-06,1887,2,436x618
lematin_18870907,Le Matin,1887-09-07,1887,2,432x615
lematin_18870908,Le Matin,1887-09-08,1887,2,434x616
lematin_18870909,Le Matin,1887-09-09,1887,2,434x615
lematin_18870910,Le Matin,1887-09-10,1887,2,433x616
lematin_18870911,Le Matin,1887-09-11,1887,2,431x615
lematin_18870912,Le Matin,1887-09-12,1887,2,433x616
lematin_18870913,Le Matin,1887-09-13,1887,2,432x616
lematin_18870914,Le Matin,1887-09-14,1887,2,433x615
lematin_18870915,Le Matin,1887-09-15,1887,2,432x616
lematin_18870916,Le Matin,1887-09-16,1887,2,432x617
lematin_18870917,Le Matin,1887-09-17,1887,2,434x617
lematin_18870918,Le Matin,1887-09-18,1887,2,434x615
lematin_18870919,Le Matin,1887-09-19,1887,2,433x615
lematin_18870920,Le Matin,1887-09-20,1887,2,431x615
lematin_18870921,Le Matin,1887-09-21,1887,2,433x615
lematin_18870922,Le Matin,1887-09-22,1887,2,434x617
lematin_18870923,Le Matin,1887-09-23,1887,2,435x616
lematin_18870924,Le Matin,1887-09-24,1887,2,432x616
lematin_18870925,Le Matin,1887-09-25,1887,2,431x615
lematin_18870926,Le Matin,1887-09-26,1887,2,433x616
lematin_18870927,Le Matin,1887-09-27,1887,2,433x616
lematin_18870928,Le Matin,1887-09-28,1887,2,435x617
lematin_18870929,Le Matin,1887-09-29,1887,2,432x616
lematin_18870930,Le Matin,1887-09-30,1887,2,433x617
lematin_18871001,Le Matin,1887-10-01,1887,2,432x616
lematin_18871002,Le Matin,1887-10-02,1887,2,431x619
lematin_18871003,Le Matin,1887-10-03,1887,2,431x615
lematin_18871004,Le Matin,1887-10-04,1887,2,432x616
lematin_18871005,Le Matin,1887-10-05,1887,2,432x616
lematin_18871006,Le Matin,1887-10-06,1887,2,433x616
lematin_18871007,Le Matin,1887-10-07,1887,2,431x616
lematin_18871008,Le Matin,1887-10-08,1887,2,435x617
lematin_18871009,Le Matin,1887-10-09,1887,2,433x616
lematin_18871010,Le Matin,1887-10-10,1887,2,434x617
lematin_18871011,Le Matin,1887-10-11,1887,2,433x617
lematin_18871012,Le Matin,1887-10-12,1887,2,433x615
lematin_18871013,Le Matin,1887-10-13,1887,2,432x615
lematin_18871014,Le Matin,1887-10-14,1887,2,431x616
lematin_18871015,Le Matin,1887-10-15,1887,2,436x615
lematin_18871016,Le Matin,1887-10-16,1887,2,433x616
lematin_18871017,Le Matin,1887-10-17,1887,2,432x615
lematin_18871018,Le Matin,1887-10-18,1887,2,436x617
lematin_18871019,Le Matin,1887-10-19,1887,2,434x616
lematin_18871020,Le Matin,1887-10-20,1887,2,435x616
lematin_18871021,Le Matin,1887-10-21,1887,2,432x616
lematin_18871022,Le Matin,1887-10-22,1887,2,433x615
lematin_18871023,Le Matin,1887-10-23,1887,2,432x615
lematin_18871024,Le Matin,1887-10-24,1887,2,432x615
lematin_18871025,Le Matin,1887-10-25,1887,2,432x614
